Datum;plusminus
31.03.2016;-0,2
30.03.2016;0,44
29.03.2016;0,88
28.03.2016;0,05
24.03.2016;-0,04
23.03.2016;-0,64
22.03.2016;-0,09
21.03.2016;0,1
18.03.2016;0,44
17.03.2016;0,66
16.03.2016;0,56
15.03.2016;-0,18
14.03.2016;-0,13
11.03.2016;1,64
10.03.2016;0,02
09.03.2016;0,51
08.03.2016;-1,12
07.03.2016;0,09
04.03.2016;0,33
03.03.2016;0,35
02.03.2016;0,41
01.03.2016;2,39
29.02.2016;-0,81
26.02.2016;-0,19
25.02.2016;1,13
24.02.2016;0,44
23.02.2016;-1,25
22.02.2016;1,45
19.02.2016;0
18.02.2016;-0,47
17.02.2016;1,65
16.02.2016;1,65
12.02.2016;1,95
11.02.2016;-1,23
10.02.2016;-0,02
09.02.2016;-0,07
08.02.2016;-1,42
05.02.2016;-1,85
04.02.2016;0,15
03.02.2016;0,5
02.02.2016;-1,87
01.02.2016;-0,04
29.01.2016;2,48
28.01.2016;0,55
27.01.2016;-1,09
26.01.2016;1,41
25.01.2016;-1,56
22.01.2016;2,03
21.01.2016;0,52
20.01.2016;-1,17
19.01.2016;0,05
15.01.2016;-2,16
14.01.2016;1,67
13.01.2016;-2,5
12.01.2016;0,78
11.01.2016;0,09
08.01.2016;-1,08
07.01.2016;-2,37
06.01.2016;-1,31
05.01.2016;0,2
04.01.2016;-1,53
31.12.2015;-0,94
30.12.2015;-0,72
29.12.2015;1,06
28.12.2015;-0,22
24.12.2015;-0,16
23.12.2015;1,24
22.12.2015;0,88
21.12.2015;0,78
18.12.2015;-1,78
17.12.2015;-1,5
16.12.2015;1,45
15.12.2015;1,06
14.12.2015;0,48
11.12.2015;-1,94
10.12.2015;0,23
09.12.2015;-0,77
08.12.2015;-0,65
07.12.2015;-0,7
04.12.2015;2,05
03.12.2015;-1,44
02.12.2015;-1,1
01.12.2015;1,07
30.11.2015;-0,46
27.11.2015;0,06
25.11.2015;-0,01
24.11.2015;0,12
23.11.2015;-0,12
20.11.2015;0,38
19.11.2015;-0,11
18.11.2015;1,62
17.11.2015;-0,13
16.11.2015;1,49
13.11.2015;-1,12
12.11.2015;-1,4
11.11.2015;-0,32
10.11.2015;0,15
09.11.2015;-0,98
06.11.2015;-0,03
05.11.2015;-0,11
04.11.2015;-0,35
03.11.2015;0,27
02.11.2015;1,19
30.10.2015;-0,48
29.10.2015;-0,04
28.10.2015;1,18
27.10.2015;-0,26
26.10.2015;-0,19
23.10.2015;1,1
22.10.2015;1,66
21.10.2015;-0,58
20.10.2015;-0,14
19.10.2015;0,03
16.10.2015;0,46
15.10.2015;1,49
14.10.2015;-0,47
13.10.2015;-0,68
12.10.2015;0,13
09.10.2015;0,07
08.10.2015;0,88
07.10.2015;0,8
06.10.2015;-0,36
05.10.2015;1,83
02.10.2015;1,43
01.10.2015;0,2
30.09.2015;1,91
29.09.2015;0,12
28.09.2015;-2,57
25.09.2015;-0,05
24.09.2015;-0,34
23.09.2015;-0,2
22.09.2015;-1,23
21.09.2015;0,46
18.09.2015;-1,62
17.09.2015;-0,26
16.09.2015;0,87
15.09.2015;1,28
14.09.2015;-0,41
11.09.2015;0,45
10.09.2015;0,53
09.09.2015;-1,39
08.09.2015;2,51
04.09.2015;-1,53
03.09.2015;0,12
02.09.2015;1,83
01.09.2015;-2,96
31.08.2015;-0,84
28.08.2015;0,06
27.08.2015;2,43
26.08.2015;3,9
25.08.2015;-1,35
24.08.2015;-3,94
21.08.2015;-3,19
20.08.2015;-2,11
19.08.2015;-0,83
18.08.2015;-0,26
17.08.2015;0,52
14.08.2015;0,39
13.08.2015;-0,13
12.08.2015;0,1
11.08.2015;-0,96
10.08.2015;1,28
07.08.2015;-0,29
06.08.2015;-0,78
05.08.2015;0,31
04.08.2015;-0,22
03.08.2015;-0,28
31.07.2015;-0,23
30.07.2015;0
29.07.2015;0,73
28.07.2015;1,24
27.07.2015;-0,58
24.07.2015;-1,07
23.07.2015;-0,57
